--------- beginning of /dev/log/system
W/ThrottleService(  584): unable to find stats for iface rmnet0
D/StateMachine(  584): processMsg: ConnectModeState
D/WifiStateMachine(  584): ConnectModeState{ what=131149 when=-59ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: DriverStartedState
D/WifiStateMachine(  584): DriverStartedState{ what=131149 when=-60ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): handleMessage: X
D/StateMachine(  584): handleMessage: E msg.what=131143
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131143 when=-58ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=2 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131143 when=-59ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=2 }
D/StateMachine(  584): processMsg: ConnectModeState
D/WifiStateMachine(  584): ConnectModeState{ what=131143 when=-60ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=2 }
D/StateMachine(  584): processMsg: DriverStartedState
D/WifiStateMachine(  584): DriverStartedState{ what=131143 when=-60ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=2 }
I/wpa_supplicant(  809): SCAN enter
I/wpa_supplicant(  809): wlan0: wpa_supplicant_scan enter
I/wpa_supplicant(  809): wlan0: wpa_supplicant_scan wpa_s->conf->ap_scan=2 , scan_req =2
I/wpa_supplicant(  809): wpa_supplicant_trigger_scan +
D/StateMachine(  584): handleMessage: X
I/wpa_supplicant(  809): wlan0: [HTC] wpa_supplicant_event():2758- Got an original EVENT_SCAN_RESULTS
I/wpa_supplicant(  809): Got an original EVENT_SCAN_RESULTS
I/wpa_supplicant(  809): _wpa_supplicant_event_scan_results -
I/wpa_supplicant(  809): [Horizon Wi-Free] 72:54:d2:ae:26:95 freq=2412 qual=0 noise=0 level=-42 flags=0xb
I/wpa_supplicant(  809): [Moulin Rouge] 70:54:d2:ae:26:93 freq=2412 qual=0 noise=0 level=-43 flags=0x2b
I/wpa_supplicant(  809): [UPC2532832] c4:27:95:bc:5c:53 freq=2412 qual=0 noise=0 level=-68 flags=0xb
I/wpa_supplicant(  809): [Horizon Wi-Free] c6:27:95:bc:5c:55 freq=2412 qual=0 noise=0 level=-68 flags=0xb
I/wpa_supplicant(  809): [UPC235496] 00:24:8c:69:0a:f5 freq=2437 qual=0 noise=0 level=-86 flags=0xb
I/wpa_supplicant(  809): [] 02:24:8c:69:0a:f6 freq=2437 qual=0 noise=0 level=-89 flags=0xb
D/StateMachine(  584): handleMessage: E msg.what=147461
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=147461 when=-1ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=147461 when=-2ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: ConnectModeState
D/WifiStateMachine(  584): ConnectModeState{ what=147461 when=-3ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: DriverStartedState
D/WifiStateMachine(  584): DriverStartedState{ what=147461 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: SupplicantStartedState
D/WifiStateMachine(  584): SupplicantStartedState{ what=147461 when=-5ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/WirelessDisplayService(  584): Receive Wifi scan results available intent.
D/WirelessDisplayService(  584): HANDLE_WIFI_SCAN_RESULT_AVAILABLE, dongle scan = 0
D/WirelessDisplayService(  584): constructDongleInfoFromWifi() dongleScan = false
D/WirelessDisplayService(  584): wfdservice: true, finger gesture: true, don't sendBroadcast
D/WirelessDisplayService(  584): getDiscoveryDongleList
D/StateMachine(  584): handleMessage: X
D/StateMachine(  584): handleMessage: E msg.what=131073
D/StateMachine(  584): processMsg: ConnectedState
D/HybridProvider(  584): getName
D/HybridProvider(  584): updateLocation.Not supported
D/WifiStateMachine(  584): ConnectedState{ what=131073 when=0 target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=2 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131073 when=-1ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=2 }
D/WifiService(  584): releaseWifiLockLocked: WifiLock{NetworkLocationLocator type=2 binder=android.os.BinderProxy@43235258}
D/WifiService(  584): updateWifiState(): wifiApEnabled: false, wifiApAirplaneMode: falsegetWifiEnabledState(): 3, getWifiApEnabledState: 11
D/WifiService(  584): updateWifiState(): mAirplaneModeOn.get(): false, mPersistWifiState.get(): 1
D/WifiService(  584): updateWifiState(): mEmergencyCallbackMode: false, mDeviceIdle: false, lockHeld: true, mStopWifiRequested:false
D/WifiService(  584): updateWifiState(): enable and start wifi
D/StateMachine(  584): processMsg: ConnectModeState
D/WifiStateMachine(  584): ConnectModeState{ what=131073 when=-2ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=2 }
D/StateMachine(  584): processMsg: DriverStartedState
D/WifiStateMachine(  584): DriverStartedState{ what=131073 when=-3ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=2 }
D/StateMachine(  584): processMsg: SupplicantStartedState
D/WifiStateMachine(  584): SupplicantStartedState{ what=131073 when=-3ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=2 }
D/StateMachine(  584): processMsg: SoftApStartedState
D/WifiStateMachine(  584): SoftApStartedState{ what=131073 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=2 }
D/StateMachine(  584): processMsg: DefaultState
D/WifiStateMachine(  584): DefaultState{ what=131073 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=2 }
D/StateMachine(  584): handleMessage: X
D/StateMachine(  584): handleMessage: E msg.what=131083
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131083 when=-5ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: L2ConnectedState
D/GpsLocationProvider(  584): [handleMessage] message :7
D/WifiStateMachine(  584): L2ConnectedState{ what=131083 when=-6ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: ConnectModeState
D/WifiStateMachine(  584): ConnectModeState{ what=131083 when=-6ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/GpsLocationProvider(  584): Gps MessageHandler. msg.what 7 msg.arg1:0 msg.arg2: 0
D/GpsLocationProvider(  584): [handleMessage] UPDATE_LOCATION
D/GpsLocationProvider(  584): handleUpdateLocation
D/StateMachine(  584): processMsg: DriverStartedState
D/WifiStateMachine(  584): DriverStartedState{ what=131083 when=-7ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: SupplicantStartedState
D/WifiStateMachine(  584): SupplicantStartedState{ what=131083 when=-7ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: SoftApStartedState
D/WifiStateMachine(  584): SoftApStartedState{ what=131083 when=-8ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: DefaultState
D/WifiStateMachine(  584): DefaultState{ what=131083 when=-8ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): handleMessage: X
D/StateMachine(  584): handleMessage: E msg.what=131144
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131144 when=-9ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=1 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131144 when=-9ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=1 }
D/StateMachine(  584): handleMessage: X
D/StateMachine(  584): handleMessage: E msg.what=131085
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131085 when=-10ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131085 when=-10ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: ConnectModeState
D/WifiStateMachine(  584): ConnectModeState{ what=131085 when=-10ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: DriverStartedState
D/WifiStateMachine(  584): DriverStartedState{ what=131085 when=-10ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): handleMessage: X
D/StateMachine(  584): handleMessage: E msg.what=131149
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131149 when=-11ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131149 when=-11ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: ConnectModeState
D/WifiStateMachine(  584): ConnectModeState{ what=131149 when=-11ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: DriverStartedState
D/WifiStateMachine(  584): DriverStartedState{ what=131149 when=-11ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/PowerManagerService(  584): acquireWakeLock(42f71a58): PARTIAL_WAKE_LOCK , tag=GpsLocationProvider, flags=0x1, pid=584, uid=1000, mUserState=0x3
D/PowerManagerService(  584): releaseWakeLock(43231400): PARTIAL_WAKE_LOCK , tag=NetworkLocationLocator, flags=0x1
V/LocationManagerService(  584): In handleLocationChangedLocked.For provider: network
D/QMI_FW  (  584): QCCI: QMI_CCI_TX: cntl_flag - 00, txn_id - 0036, msg_id - 0039, msg_len - 0021
D/QMI_FW  (  584): QCCI: Sent[254]: 40 bytes to port 2816
D/PowerManagerService(  584): releaseWakeLock(42f71a58): PARTIAL_WAKE_LOCK , tag=GpsLocationProvider, flags=0x1
V/LocationManagerService(  584): In handleLocationChangedLocked.For provider: passive
D/StateMachine(  584): handleMessage: X
D/GpsLocationProvider(  584): [reportHTCStatus] eventMask = 2 , status = 0
D/GpsLocationProvider(  584): [reportHTCStatus] HTC_GPS_STATUS_INJECT_LOCATION
D/QMI_FW  (  584): QCCI: reader_thread: Received 14 bytes from 254
D/QMI_FW  (  584): QCCI: QMI_CCI_RX: cntl_flag - 02, txn_id - 0036, msg_id - 0039, msg_len - 0007
D/QMI_FW  (  584): QCCI: reader_thread: Received 14 bytes from 254
D/QMI_FW  (  584): QCCI: QMI_CCI_RX: cntl_flag - 04, txn_id - 0000, msg_id - 0039, msg_len - 0007
D/PowerManagerService(  584): acquireWakeLock(431d3408): PARTIAL_WAKE_LOCK , tag=LocationManagerService, flags=0x1, pid=584, uid=1000, mUserState=0x3
D/PowerManagerService(  584): releaseWakeLock(431d3408): PARTIAL_WAKE_LOCK , tag=LocationManagerService, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(42d4aa40): PARTIAL_WAKE_LOCK , tag=LocationManagerService, flags=0x1, pid=584, uid=1000, mUserState=0x3
D/AutoSetting(  917): service - onStartCommand() action: com.htc.app.autosetting.location
D/AutoSetting(  917): service - handleMessage() incoming message, what:1
D/AutoSetting(  917): service - handleMessage() within range
D/PowerManagerService(  584): releaseWakeLock(42d4aa40): PARTIAL_WAKE_LOCK , tag=LocationManagerService, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(431b82c8): PARTIAL_WAKE_LOCK , tag=LocationManagerService, flags=0x1, pid=584, uid=1000, mUserState=0x3
D/PowerManagerService(  584): releaseWakeLock(431b82c8): PARTIAL_WAKE_LOCK , tag=LocationManagerService, flags=0x1
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-2ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-3ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -43
D/StateMachine(  584): handleMessage: X
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-3ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-3ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -42
D/StateMachine(  584): handleMessage: X
D/PowerManagerService(  584): TPE algorithm. schedule timeout.
D/PowerManagerService(  584): ALG=2, lsvalue=40(1th)->10(0th), last_level=1, lValue=64->64, bValue=255, kValue=0, mPowerState=0x3, mSkippedScreenOn=false, mInitialAnimation=false, immediate=false
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -44
D/StateMachine(  584): handleMessage: X
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -43
D/StateMachine(  584): handleMessage: X
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-3ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -45
D/StateMachine(  584): handleMessage: X
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-5ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -44
D/StateMachine(  584): handleMessage: X
D/TELEPHONY_CALLBACK(  840): @onSignalStrengthChanged: SignalStrength: 12 -1 -1 -1 -1 -1 -1 -1 -1 -1 2147483647 -1 gsm|lte
D/StatusBar.NetworkController(  840): dumpState[hasService=true ServiceState=0 home 3 3 27202  EDGE CSS not supported -1 -1 RoamInd=-1 DefRoamInd=-1EriInd= -1EriMode= -1RadioPowerSv: false EmergOnly=false PhoneType: 1 IsCdma=false SimState=UNKNOWN GprsState=0 DataState=Disconnected DataActivity=NONE NetworkType=EDGE HtcModemLinkOn=false HspaDataDistinquishable=true]
D/SIGNAL_ICON(  840): updateTelephonySignalStrength
D/SIGNAL_ICON(  840): fakeui srv=0 mTimerEnabled=false asu=12
D/SIGNAL_ICON(  840): asu=12
D/SIGNAL_ICON(  840): SUPPORT_5_LEVEL_SIGNAL
D/SIGNAL_ICON(  840): mapTelephonySignalStrength
D/SIGNAL_ICON(  840): maxLevel=5 asu=12 networkType=EDGE
D/SIGNAL_ICON(  840): return iconLevel=4
D/StatusBar.NetworkController(  840): dumpIconState[dataVisible=false dataIconId=stat_sys_data_connected_hplus signalIconId=stat_sys_5signal_4 wifiVisible=true wifiIconId=stat_sys_wifi_signal_4 airplaneMode=false]
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-2ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-3ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -43
D/StateMachine(  584): handleMessage: X
D/TELEPHONY_CALLBACK(  840): @onSignalStrengthChanged: SignalStrength: 11 -1 -1 -1 -1 -1 -1 -1 -1 -1 2147483647 -1 gsm|lte
D/StatusBar.NetworkController(  840): dumpState[hasService=true ServiceState=0 home 3 3 27202  EDGE CSS not supported -1 -1 RoamInd=-1 DefRoamInd=-1EriInd= -1EriMode= -1RadioPowerSv: false EmergOnly=false PhoneType: 1 IsCdma=false SimState=UNKNOWN GprsState=0 DataState=Disconnected DataActivity=NONE NetworkType=EDGE HtcModemLinkOn=false HspaDataDistinquishable=true]
D/SIGNAL_ICON(  840): updateTelephonySignalStrength
D/SIGNAL_ICON(  840): fakeui srv=0 mTimerEnabled=false asu=11
D/SIGNAL_ICON(  840): asu=11
D/SIGNAL_ICON(  840): SUPPORT_5_LEVEL_SIGNAL
D/SIGNAL_ICON(  840): mapTelephonySignalStrength
D/SIGNAL_ICON(  840): maxLevel=5 asu=11 networkType=EDGE
D/SIGNAL_ICON(  840): return iconLevel=3
D/SIGNAL_ICON(  840): refreshViews: mPhoneSignalIconId -> stat_sys_5signal_3
D/StatusBar.NetworkController(  840): dumpIconState[dataVisible=false dataIconId=stat_sys_data_connected_hplus signalIconId=stat_sys_5signal_3 wifiVisible=true wifiIconId=stat_sys_wifi_signal_4 airplaneMode=false]
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-2ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-3ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -43
D/StateMachine(  584): handleMessage: X
D/BatteryService(  584): updateBatteryStats: auto update.
D/PowerManagerService(  584): acquireWakeLock(42d83978): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1, pid=584, uid=1000, mUserState=0x3
D/PowerManagerService(  584): releaseWakeLock(42d83978): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1
D/BatteryService(  584): updateBatteryStats: update triggered by UEvent.
D/PowerManagerService(  584): acquireWakeLock(4307dfb0): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1, pid=584, uid=1000, mUserState=0x3
D/HtcPowerSaver(  584): Received battery changed intent.
D/UsbnetService(  584): BroadcastReceiver::onReceive+
D/UsbnetService(  584): onReceive BATTERY_CHANGED
D/UsbnetService(  584):  --> pluggedType = 2, mPluggedType = 0, mScreenOff = false
D/UsbnetService(  584): BroadcastReceiver::onReceive-
D/WifiService(  584): ACTION_BATTERY_CHANGED pluggedType: 2
D/NotificationService(  584): mIntentReceiver() Intent.ACTION_BATTERY_CHANGED
D/PowerManagerService(  584): runHtcPowerSaverCheck ======================================
D/HtcPowerSaver(  584): Checking...
I/HtcPowerSaver(  584): >> updateStatus
D/PowerUI (  840): closing low battery warning: level=50
I/HtcPowerSaver(  584): currentStatus=8002, currentLevel=50, enableLevel=-1, enable=true, mAutoModeOn=false, popDialog=false, statusChangeTo=-1
D/PowerUI (  840): plugged = true, health = 2, mBatteryLevel = 50, mPluggedBatteryLevel = 34, mLowBatteryWarningLevel2 = 25, mshowLowChargingWarning2 = true
I/HtcPowerSaver(  584): << updateStatus
D/PowerManagerService(  584): releaseWakeLock(4307dfb0): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1
D/SizeAdaptiveLayout(  840): com.android.internal.widget.SizeAdaptiveLayout@42560050child view android.widget.LinearLayout@42562450 measured out of bounds at 95px clamped to 96px
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-5ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -43
D/StateMachine(  584): handleMessage: X
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-5ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -44
D/StateMachine(  584): handleMessage: X
D/AutoSetting(  917): service - handleMessage() incoming message, what:50
D/AutoSetting(  917): service - handleMessage() stop self
D/AutoSetting(  917): service - stop self, saving info!
D/AutoSetting(  917): service - stop self, saving info! Done
D/AutoSetting(  917): service - onDestroy()
D/AutoSetting(  917): service - onDestroy() END
D/AutoSetting(  917): service - handleMessage() incoming message, what:100
D/AutoSetting(  917): service - handleMessage() quit looper
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-3ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -43
D/StateMachine(  584): handleMessage: X
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-5ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -41
D/StateMachine(  584): handleMessage: X
D/PowerManagerService(  584): acquireWakeLock(4323a038): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x3
V/AlarmManager(  584): sending alarm PendingIntent{43328550: PendingIntentRecord{430a21e0 com.android.phone broadcastIntent}}, intent=com.android.internal.telephony.gprs-data-stall, type=ELAPSED_REALTIME, count=1, when=5882368, repeateInterval=0
D/PowerManagerService(  584): releaseWakeLock(4323a038): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-6ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -43
D/StateMachine(  584): handleMessage: X
D/PowerManagerService(  584): acquireWakeLock(4324cf80): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x3
V/AlarmManager(  584): sending alarm PendingIntent{429db508: PendingIntentRecord{42d0af18 android broadcastIntent}}, intent=android.intent.action.TIME_TICK, type=RTC, count=1, when=1427235300000, repeateInterval=0
D/PowerManagerService(  584): releaseWakeLock(4324cf80): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-5ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -42
D/StateMachine(  584): handleMessage: X
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-6ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -42
D/StateMachine(  584): handleMessage: X
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-5ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -42
D/StateMachine(  584): handleMessage: X
D/PowerManagerService(  584): acquireWakeLock(432cdb48): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x3
